Name,Year,Duration,Rating,Votes,Description,language
Rabba Main Kya Karoon,2013,1h 56m,4.4,305,"Rabba Main Kya Karoon is a roller coaster ride, which centres around a big - lavish Delhi wedding.",Hindi
Chor Chor Super Chor,2013,1h 39m,6.5,238,"In the crowded by lanes of old Delhi, Shukla ji runs a small photo studio as a front for small time crime. Over the years he has groomed a bunch of youngsters in the art of pick pocketing and petty crime. Then one day a girl comes into their midst and then everything collapses.",Hindi
Nasha,2013,2h 2m,3.2,1.4K,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",Hindi
Bajatey Raho,2013,1h 47m,5.3,778,Surviving family members and friends of a man who was conned by the cunning businessman Sabbarwahl string together a series of their own cons in an attempt to bring him down.,Hindi
Issaq,2013,2h 28m,4.4,506,"A contemporary adaptation of Romeo and Juliet set in the backdrop of Varanasi in the UP heartland, complete with naxalism, sand mining mafia and of course the timeless love story.",Hindi
Ramaiya Vastavaiya,2013,2h 28m,5.7,4.4K,"Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her.",Hindi
D-Day,2013,2h 33m,7.2,10K,A team of experts dispatched to bring in The Most Wanted Man in India almost achieve the unthinkable ... until something goes horribly wrong.,Hindi
Sixteen,2013,2h 18m,6.2,1.8K,"Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first crush. But times have changed. In the times of Internet, Delhi times and page-3 and lot of TV channels, innocence is the first casualty. Sixteen is a story about lost innocence and teenage heartache in urban India.",Hindi
Tara: The Journey of Love and Passion,2013,1h 50m,4.6,135,It's a saga of an illiterate illegal brewer- an Indian gypsy Woman- who is outlawed from her house and hamlet by her husband Allegedly for adultery when she is already nine months pregnant... Will she survive this stroke? Will she commit suicide? Is she Innocent? Will she be able to prove her innocence ?,Hindi
Shorts,2013,1h 35m,6.4,479,"Shorts is a 2013 Hindi Drama film which is a compilation of five short films.It is directed by Neeraj Ghaywan, Vasan Bala, Anubhuti Kashyap, Shlok Sharma and Gitanjali Rao. The five short films are titled ""Hidden Cricket"", ""Moi Murjani"", ""Epiphany"", ""Geek Out"", and ""Chai"" and it is releasing July 12, 2013.",Hindi
Bhaag Milkha Bhaag,2013,3h 6m,8.2,72K,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Hindi
Lootera,2013,2h 16m,7.4,17K,"An aristocrat's daughter falls in love with a visiting archaeologist, but he holds a secret that could drive them apart.",Hindi
Policegiri,2013,2h 21m,4.2,1.6K,DCP Rudra faces a bunch of challenges after he locks horns with a notorious criminal Nagori Subramanium.,Hindi
Ghanchakkar,2013,2h 17m,5.9,5.2K,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,Hindi
Shortcut Romeo,2013,2h 26m,2.9,301,Suraj spots a couple making love on a golf course and video films the entire event. He blackmails the couple and asks them to ensure that he has a luxurious life in return for the footage.,Hindi
Enemmy,2013,,5.0,257,Five undercover cops are assigned the task to protect Mumbai city from gang wars.,Hindi
Raanjhanaa,2013,2h 20m,7.6,34K,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",Hindi
The Bright Day,2013,1h 30m,5.9,146,"This is a story of Shiv. Shiv, with a supportive family, a close group of friends and a normal life in all respects, sets out on a journey to discover what he seeks in the outside world, not knowing when, if at all, he will return. He is searching for something but isn't sure what exactly he seeks. Experiencing a whole new life is simultaneously frightening, exhilarating and intense as he ventures out, completely vulnerable, on a journey that takes him through diverse landscapes of life arid, vast, claustrophobic, open, abundant. He faces insecurity, enjoys adventure and freedom and learns about different philosophies. A trembling mind has set out on a journey into the unknown towards light. Its own light.",Hindi
Ankur Arora Murder Case,2013,2h 9m,6.5,2.2K,"A highly reputed doctor makes a small mistake, which costs the life of a kid Ankur Arora. Will he succeed in hiding his mistake or will the mother of the kid get Justice.",Hindi
Lakeer Ka Fakeer,2013,1h 53m,5.4,155,"The film revolves around the lives of three friends-cum-petty crooks whose biggest crime is the fact that they reside in Mumbai's notorious area, where nefarious activities of the organized-crime syndicates take shape.",Hindi
Fukrey,2013,2h 19m,6.9,13K,"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",Hindi
Yamla Pagla Deewana 2,2013,2h 34m,3.4,2K,"The trio reunites in the UK and they fall in love, become involved with a nightclub, and have to face up to the challenge of a local don.",Hindi
Meridian Lines,2013,,6.4,108,"A poor road worker sets off a chain of events that bring karmic balance to seven very troubled strangers. KARMAYA simplifies the complexities of the karmic mechanisms that bind present experiences to past life actions. It weaves through the lives of a dirty road worker, a servant girl, a tea seller, a stockbroker, an old drunk, an odd job man, a hermaphrodite and the young parents of a newborn baby girl but one of these also has committed the murder of a young girl and karma will make them pay for it. Clashing the many layers of the wealth and poverty within Indian society and merging the religious Hindu doctrines with people's drive to amass wealth and not wisdom, each character is dragged along by the others actions until the troubled storylines zenith the girl's killer is found.",Hindi
Yeh Jawaani Hai Deewani,2013,2h 56m,7.2,51K,"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",Hindi
Zindagi 50 50,2013,2h 10m,2.8,250,"Zindagi 50-50 revolves around three different stories . Zindagi means Life - Sometimes it's fun, and sometimes it's a curse - but it's just a point of view. People prays to god for happiness, so that they can enjoy their life. But the God says that he had already given a life to them, to enjoy all the happiness. It has been said that, the way you asks question to your life, it answers you in the same manner. ""Zindagi 50:50"" is the same story of such question and answers - It's a story of Rupa (A Housewife), Madhuri (Prostitute_ and Nainja (A Struggling Actress). Rupa's husband, Birju (Auto Driver) has a dream of getting a house. To fulfill his dream, Rupa breaks all the limits of her life. To complete her dream of house, CR Lele (Government Servant) pushes her in a dark side of her life, where she gets the house, but also gets a smirch on her respect. Zindagi 50:50 is a story of special dreams of a common man. And to fulfill those dreams, he has to struggle a lot, but sometimes they gets it easily and sometime he has to lose everything, ""Zindagi 50:50"" has this same of losing and getting.",Hindi
Hum Hai Raahi CAR Ke,2013,,2.6,174,"Hum Hai Raahi CAR Ke is the story of two friends who on one New Year's night decide to travel from Mumbai to Pune. But a trip that should only take a couple of hours ends up becoming an all-nighters, with wacky events keeping them on the road and preventing them from reaching their destination.",Hindi
The Lunchbox,2013,1h 44m,7.8,60K,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Hindi
Monsoon Shootout,2013,1h 32m,6.6,1.4K,"As heavy rains lash Mumbai, a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not.",Hindi
Ugly,2013,2h 8m,7.9,23K,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,Hindi
Aurangzeb,2013,2h 17m,6.4,4.5K,"Kingship knows no Kinship and there can be only one Emperor in Aurangzeb's world. In Gurgaon, to bring down a criminal the law has to think like one.",Hindi
Rangeelay,2013,2h 9m,5.0,201,"Sonny is a collection agent for the Rangeelay Fynance Company. When he repossesses a scooter from Simmi, it's love at first sight. But she is free spirited, spoiled, cynical and does not believe in love. And she is also engaged to Ricky.",Hindi
Go Goa Gone,2013,1h 48m,6.6,15K,"A group of friends, just looking to have a good time in a rave party on a remote island in Goa, find out that the island is infested with Zombies.",Hindi
Gippi,2013,1h 35m,5.6,890,"A painfully awkward, overweight teenager reclaims her right to happiness and self-worth by running against a pretty, popular queen bee in the school election.",Hindi
Chhota Bheem and the Throne of Bali,2013,2h 10m,5.8,263,"On their visit to Bali for the coronation of the state's prince, Chhota Bheem and his friends learn that the state is captured by witch Rangda. Along with his friends, he sets out to save Bali.",Hindi
Bombay Talkies,2013,2h 7m,6.6,5.7K,One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,Hindi
Shootout at Wadala,2013,2h 35m,6.0,7.5K,"Based on the true story of the first-ever registered encounter by the Mumbai Police, which took place on November 1, 1982.",Hindi
Beyond All Boundaries,2013,1h 37m,8.0,175,"As India, host of the 2011 World Cup of Cricket, begins its campaign to win the Cup after a 28-year drought, three ordinary Indians seek their salvation/escape from a difficult life through their passion for cricket - Sudhir, a penniless superfan who cycles across India to cheer the team; Prithvi, a 12-year old boy wonder who is a cricket prodigy; and Akshaya, a girl cricketer from Mumbai's slums. We follow Sudhir to see what drives the man who has renounced so much, including marriage, for his dream of cheering Team India forever; Akshaya as she competes in the trials for selection to the Mumbai Women's Team, and Prithvi as he copes with the unique pressures of being a cricket phenom in a cricket-crazy nation.",Hindi
Shree,2013,1h 49m,6.3,311,"Shree, an ordinary man, works at a telecom company. In love with Sonu but cannot marry yet as need to make some basic money. Randhawa, a wealthy businessman, in his ceaseless pursuit of power, has zeroed in on Shree as his last guinea pig. Shree is the last piece of puzzle of a scientific experiment, devised by a brilliant scientist, supported by commissioner of police and funded by Randhawa. If successful, it could change the fate of their lives and that of the whole world. Lured in by promise of a bright and successful future, Shree trade in 12 hours of his life. Randhawa offers him 20 lakhs for participating in a experiment which will last for 12 hours. He trust them and needs the money, excitedly Shree trade in 12 hours of his life. But as soon as these 12 hours start, he finds that his simple life has been turned upside down. Accused of murdering the scientist, the commissioner of police and many more people. Shree an ordinary man, now is the most wanted man in the city. Now must use his wit and intelligence to prove his innocence. Now he must rise above the ordinary, and become Extraordinary.",Hindi
Aashiqui 2,2013,2h 12m,7.0,32K,Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,Hindi
Ek Thi Daayan,2013,2h 15m,5.7,4.5K,"When gifted magician Bobo finds himself assailed by hallucinations and seeks professional help, he learns he's being haunted by a sinister spirit.",Hindi
Commando,2013,2h 4m,6.3,5.9K,"Karan, a disavowed Indian commando, helps protect a woman from a local thug who is hellbent on forcing her to marry him.",Hindi
Nautanki Saala,2013,1h 59m,5.8,4.5K,"Ram, a successful theatre artist, saves Mandar from committing suicide. He then ends up developing a special bond with Mandar and even helps solve his problems.",Hindi
Chashme Baddoor,2013,2h 1m,5.4,5.3K,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",Hindi
Rise of the Zombie,2013,1h 26m,3.3,456,"A heartbroken wildlife photographer throws himself into his work, only to find himself experiencing strange transformations.",Hindi
Himmatwala,2013,2h 30m,1.7,9.2K,"When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance.",Hindi
Sona Spa,2013,1h 42m,3.4,210,"The world is deprived of sleep. In Sona Spa you can buy sleep for yourself. Here Girls (Sleep Workers) sleep for you, not with you. However they can also inhabit the kingdom of their clients' dreams. The place gives you sleep but takes away your dreams.",Hindi
Aatma,2013,1h 34m,3.9,713,A single mother fights against the supernatural in order to hold on to her daughter.,Hindi
Rangrezz,2013,2h 24m,5.2,451,"Three friends who come together to help a fourth friend elope with his lover, come together once again to teach the couple a lesson, when they part away.",Hindi
When Hari Got Married,2013,1h 15m,7.0,179,"When Hari, a small-town taxi driver, has an arranged marriage to a girl he has never met, the result is an intimate and humorous look at the changes taking place in India as modernity and globalization meet age-old traditions and customs.",Hindi
Jolly LLB,2013,2h 15m,7.5,21K,"Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer.",Hindi
Mere Dad Ki Maruti,2013,1h 41m,6.4,4.9K,"In the midst of a loud Punjabi wedding, a boy sneaks his dad's fancy new car to impress the college hottie and all hell breaks loose when he loses it.",Hindi
Saare Jahaan Se Mehnga...,2013,2h,7.0,1.3K,"A man under pressure due to the countrys growing inflation rates comes up with a unique idea to deal with the rising prices. However, things go wrong and his naivety lands him in big trouble.",Hindi
Saheb Biwi Aur Gangster Returns,2013,2h 22m,6.7,4.1K,"Saheb, his wife, and a gangster who returns to take revenge.",Hindi
The Attacks of 26/11,2013,1h 56m,6.9,5.5K,"The real story of ten terrorists, who sail to Mumbai and wage war on the populace for the next 72 hours.",Hindi
"I, Me Aur Main",2013,1h 48m,4.7,2K,"As Ishaan, a music producer who has commitment issues with the women in his life, feels a connection with Gauri, his next-door neighbor, he begins to learn the importance of relationships.",Hindi
Zila Ghaziabad,2013,2h 22m,3.6,1.5K,"In the city of Ghaziabad, gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh, a corrupt police officer, is transferred to the city to handle the situation.",Hindi
Jayantabhai Ki Luv Story,2013,2h 10m,5.3,1.4K,"Jayantabhai is a street-thug and small time gangster, who unexpectedly falls in love with his enemy, who is Simrin. A romantic caper about how people unknowingly fall in love with people they least expect to.",Hindi
Murder 3,2013,2h 4m,5.0,2.8K,"After a breakup, Vikram dates Nisha, who moves into his mansion. Nisha notices strange activities, suspects haunting. Vikram's ex Roshini goes missing. Nisha and Vikram's life unravels as he's blamed.",Hindi
Kai po che!,2013,2h 10m,7.8,39K,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Hindi
Katiyabaaz,2013,1h 24m,7.7,522,"In a city with 15 hour power cuts, hundreds of people risk their lives to steal electricity. With the first female chief of the electricity company vowing to eliminate all illegal connections, the lines are drawn for a battle over electricity.",Hindi
Special Chabbis,2013,2h 24m,8.0,59K,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Hindi
ABCD (Any Body Can Dance),2013,2h 40m,6.3,7.4K,"When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",Hindi
Deewana Main Deewana,2013,2h 10m,2.6,400,Basant (Govinda) does everything he can to get the girl he loves,Hindi
Mai,2013,1h 45m,6.7,105,"The only son who she had great expectations from isolates her the moment he lands a job in a foreign country. The 2 youngest daughters try to run away from the responsibility too. The eldest daughter (Madhu) a woman of substance, and self made, takes a stand against the wishes of her husband and daughter takes the responsibility of tending for her. During her stay with her daughter Maireminisces her good old days of sorrow and happiness in flashes, as she switches in and out of her insanity. As time progresses Mai's Alzheimer attacks goes from bad to worst. Slowly and steadily she starts reliving her past moments in the present situation. The family life of her daughter is in shambles due to the prevailing tension with her husband (Subhash). And at the same time she has the moral responsibility of caring for her sick mother. Madhu balances her disgruntled family and work pressure. The support of her seniors and staff at the workplace helps her to manage her life until; one day the progressing condition of her mother forces her to quit her job. And the relation between Mai and her son-in-law takes a miraculous turn which changes his life forever.",Hindi
Listen..,2013,1h 48m,6.5,640,"Amaya, a budding writer, tries to come to terms with the fact that her widowed mother, Leela, is having a relationship with Jayant, a man who is collaborating with her on a coffee table book.",Hindi
Race 2,2013,2h 30m,5.3,17K,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,Hindi
Akaash Vani,2013,2h 29m,6.4,2.2K,Follows the love story of a boy and a girl.,Hindi
Main Krishna Hoon,2013,2h 14m,5.2,229,"In answer to an orphan boy's prayers, the divine Lord Krishna comes to Earth, befriends the boy, and helps him find a loving family.",Hindi
Bandook,2013,2h 12m,6.7,1K,"In the lawless interiors of India, particularly around Gangetic planes, guns are the surest way to fame, power, money and women.",Hindi
Inkaar,2013,2h 5m,6.1,2.7K,"At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious protégée, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.",Hindi
Matru Ki Bijlee Ka Mandola,2013,2h 31m,5.6,6.3K,"Harry is an industrialist who loves his daughter Bijlee, and the bond they share with Harry's man friday, Matru. Bijlee's plan to wed the son of a politician, however, brings twists and turns in the lives of Matru, Bijlee and Mandola.",Hindi
Table No.21,2013,1h 48m,7.2,14K,A couple is drawn into a game show with a whooping winning prize. However the game turns into more than a survival for them with no escape.,Hindi
Rajdhani Express,2013,2h 20m,2.8,280,An unsafe journey by a common man.,Hindi
An Unfold Fact Lateef,2015,1h 58m,3.2,143,"Lateef is a middle-class man who aspires to become a doctor. But, this dream is shattered when he gets arrested in a drug raid.",Hindi
Dabangg 2,2012,2h,4.8,20K,Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,Hindi
10ml LOVE,2012,1h 27m,6.4,175,A romantic comedy concerning the tribulations of a love quadrangle during a night of magic & madness.,Hindi
Khiladi 786,2012,2h 21m,4.3,7.7K,"A father who runs a marriage bureau believes that his son is a failure in life. In order to prove him wrong, his son takes on the task of finding a match for a gangster's sister.",Hindi
I.D.,2012,1h 27m,6.9,192,"On a day when she was alone at home, a laborer comes to paint a wall.",Hindi
Talaash,2012,2h 20m,7.2,45K,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",Hindi
Gangoobai,2012,1h 50m,7.7,324,"Gangoobai, a Maid-in-Matheran, has lived a life with simple aspirations, until one day she finds a new purpose of buying a designer sari. She follows her dream to the big city of Mumbai.",Hindi
Jab Tak Hai Jaan,2012,3h 18m,6.7,59K,An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,Hindi
Son of Sardaar,2012,2h 21m,4.2,10K,"A guest tries to stay inside the house of a vengeful man who can't kill him unless he's outside, because of equating guest with God.",Hindi
Luv Shuv Tey Chicken Khurana,2012,2h 20m,6.6,4.1K,A fugitive frantically looks for a much-coveted chicken curry recipe with which his family can reclaim their pride and wealth.,Hindi
1920: Evil Returns,2012,2h 4m,4.9,2.2K,"A famous poet, Jaidev, meets a woman who has lost her memories. He brings her to his house and tries to help her, but things take an ugly turn when she gets possessed by an evil spirit.",Hindi
Future to Bright Hai Ji,2012,3h,6.2,109,Two people's lives change when they approach an astrologer to predict their future.,Hindi
Rush,2012,1h 50m,3.9,904,"Story of a struggling news reporter engulfed by the veneer of glamour, money, power and the enviable life of media.",Hindi
Ajab Gazabb Love,2012,1h 56m,4.4,557,"Rajveer falls in love with Madhuri. He realizes that she hates rich people. So Rajveer, along with his family, pretends to be poor to win Madhuri's love.",Hindi
Student of the Year,2012,2h 26m,5.2,20K,Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,Hindi
Oass,2012,1h 45m,6.9,210,"Eyes forward, Kiku hurtles down the street. A swish of glittering purple from the corner of her eye tells her that Madam is not far behind. Jhukki's grunts were getting louder. Kiku needed to quicken her pace. She shifts her focus back to her goal. The end of the street is a few meters away and beyond that lie her father's fields. She squints. Was that the silhouette of the Kanchenjunga she saw in the distance? A butterfly dances up ahead of her, its antennae pointing towards Kiku's finish line. Last few steps. She closes her eyes and stretches her hand forward. But, before she can step over the threshold, she is yanked back. Kiku lurches forward but Madam's fingernail is hooked into the collar of her shirt/blouse. The butterfly escapes. Kiku's hand drops to her side. OASS is inspired by a true story of Kiku who is taken away from her village at the age of 11 and sold to a brothel in Delhi. Drugged, beaten, raped and threatened, she surrenders to the atrocities in order to live, and one day escape. OASS brings to light the menace of girl-child trafficking and the perils faced by the million Kikus across the globe.",Hindi
Chittagong,2012,1h 45m,7.3,1.8K,"School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.",Hindi
Bhoot Returns,2012,1h 25m,2.6,581,"A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",Hindi
Login,2012,2h 5m,5.7,122,This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.,Hindi
Maharana Pratap: The First Freedom Fighter,2012,2h 25m,5.9,141,"Maharana Pratap's clashes with Akbar and Man Singh I, which caused the battle of Haldighati.",Hindi
Mumbai Cha Raja,2012,1h 17m,6.3,178,"Rahul, a mischievous adolescent roams the rain soaked slums of Mumbai with Arbaaz, a balloon selling boy. They escape harsh reality of life by roasting stolen potatoes; stealing an auto rickshaw for a joyride; chasing girls, etc.",Hindi
Chakravyuh,2012,2h 32m,6.8,3.4K,"On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",Hindi
Aiyyaa,2012,2h 32m,4.4,2K,"A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell.",Hindi
Filmistaan,2012,1h 57m,7.3,3.6K,"In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown out. Undeterred, he goes with an American crew to remote areas in Rajasthan to work on a documentary. One day an Islamic terrorist group kidnaps him for the American crew-member. Sunny finds himself on enemy border amidst guns and pathani-clad guards, who decide to keep him hostage until they locate their original target. The house In which he is confined belongs to a Pakistani, whose trade stems from pirated Hindi films, which he brings back every time he crosses the border. Soon, the two factions realize that they share a human and cultural bond. The film shows how cinema can be the universal panacea for co-existence.",Hindi
Kismet Love Paisa Dilli,2012,2h 9m,4.5,617,"Film is set in one winter night in Delhi where a middle class, Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting operation tape in his pocket. This sting operation has a minister talking of buying and selling MLAs and media heads from his Swiss bank accounts. Unknown to this he is chased by corrupt cops and good guys to get that tape back. Soon he gets to know of tape with him and it's high relevance. How this university student who always talked against corruption like any layman, now gets bribed himself by the big offer thrown by Minster's man constitutes the edge of the seat climax of story.",Hindi
Prague,2012,1h 49m,5.5,378,"The chaotic ramblings of a young architect's mind take hold of his life as he leaves behind his past in India to work in Prague. In a city of beautiful architecture, a young architect is diverted toward constructions that exist within.",Hindi
Jalpari: The Desert Mermaid,2012,1h 34m,7.9,2.3K,"When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets.",Hindi
OMG: Oh My God!,2012,2h 5m,8.1,65K,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Hindi
Kamaal Dhamaal Malamaal,2012,2h 28m,4.2,861,"Jhonny is often fooled by villagers as he is fit for nothing. He is in love with Maria but is often targeted by her brothers. Then enters Sam, who will be like a Samaritain to Jhonny's family.",Hindi
Heroine,2012,2h 29m,5.0,4.6K,A female superstar struggles through the trials and tribulations of being a Bollywood actress.,Hindi
English Vinglish,2012,2h 14m,7.8,39K,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Hindi
Barfi!,2012,2h 31m,8.1,86K,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Hindi
Raaz 3,2012,2h 19m,4.2,4K,"When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",Hindi
Shahid,2012,2h 9m,8.2,18K,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",Hindi
B.A,2012,1h 35m,6.4,4.2K,A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,Hindi
Joker,2012,1h 44m,2.4,5.8K,"A space scientist working on a project to communicate with aliens visits a village called Paglapur. To improve the plight of the inhabitants of Paglapur, he comes up with a novel idea.",Hindi
Shirin Farhad Ki Toh Nikal Padi,2012,1h 51m,4.5,1.1K,"Farhad Pastakia (Boman Irani) has a dream job as a bra-and-panty salesman. Except that he is a 45-year old Parsi bachelor still living with his overbearing mother and grandmother. But it's not like he's stopped trying. Desperate to get him married, Farhad's mother drags him to see women and even to embarrassing Parsi matrimony services. In the midst of all the daily humdrum, Farhad meets the woman of his dreams: Shirin Fugawala ('Farah Khan'), who drops by his store. Shirin, who works at the Parsi Trust, hits it off with Farhad from the start. Everything seems to be perfect and Farhad gets ready to introduce Shirin to his mother. But mummy becomes the villain in their story when she discovers that Shirin is the devious Parsi Trust Secretary who got the illegal water tank in their home demolished. The water tank being the 'aakhri nishaani' of Farhad's late father doesn't help matters. The ups and downs in Shirin-Farhad's relationship and how the two try to make it work is the rest of the journey.",Hindi
Ek Tha Tiger,2012,2h 12m,5.6,38K,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,Hindi
Jism 2,2012,2h 10m,3.1,3.6K,"Izna, a porn star, is tasked by an Indian Intelligence Agency to seduce her ex-boyfriend Kabir, a dreaded assassin, in order to steal vital information relating to his sleeper cell contacts.",Hindi
Krishna Aur Kans,2012,1h 57m,6.7,299,"Hailed as India's first stereoscopic animated film, 'Krishna Aur Kans' is an exciting narrative full of action and drama. The movie chronicles Krishna's early years -- from his birth as the nemesis of his tyrannical uncle Kans.",Hindi
Kyaa Super Kool Hain Hum,2012,2h 16m,5.0,4.1K,Adi and Sid want to make big but always run out of luck and series of confusion start taking place when they reach Goa.,Hindi
Shudra the Rising,2012,2h,8.1,1.1K,Shudra - The Rising is the story of 250 million people subjugated in war and condemned to slavery and bestial existence for ages. These peace loving and imprudent people of ancient times were usurped by more aggressive and acquisitive group of men and societies.,Hindi
Mere Dost Picture Abhi Baaki Hai,2012,3h,3.7,219,"Amar Joshi (Sunil Shetty) sells his business in hope to become a film director. After meeting immoral producers and financers, he finds out that his journey won't be so easy.",Hindi
Life! Camera Action...,2012,1h 30m,7.7,126,A young girl in pursuit of her dreams of becoming a filmmaker against all odds.,Hindi
Challo Driver,2012,1h 35m,5.8,203,"When a rich spoilt brat's grandfather hires a female chauffer for him, the fun unfolds.",Hindi
Cocktail,2012,2h 26m,6.3,15K,"A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",Hindi
Bol Bachchan,2012,2h 35m,5.6,9.7K,"All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.",Hindi
Delhi Safari,2012,1h 36m,5.5,1.9K,A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,Hindi
3 Bachelors,2012,1h 54m,3.3,191,3 Bachelors is the story of two young bachelors and one young at heart bachelor. Amit and Jai land into trouble for teasing two girls on the very first day of their college because of which they lose their hostel room. The story that follows shows Jai and Amit doing all the crazy things to get an accommodation and their lovers.,Hindi
Maximum,2012,1h 50m,4.7,218,"Revolves around two cops who wants be at the top, find themselves at loggerheads with each other whatever it takes to be.",Hindi
Teri Meri Kahaani,2012,1h 57m,4.9,4.2K,"The true love between a couple in 1910, 1960 and 2012. Their love is so strong that even destiny wants to bring them together.",Hindi
Ferrari Ki Sawaari,2012,2h 20m,6.4,5.8K,How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,Hindi
Gulabi Gang,2012,1h 36m,7.6,230,"In Bundelkhand, India, a revolution is in the making among the poorest of the poor, as the fiery women of the Gulabi Gang empower themselves and take up the fight against gender violence, caste oppression and widespread corruption.",Hindi
Shanghai,2012,2h,7.3,10K,Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,Hindi
Thadaiyara Thaakka,2012,2h 8m,7.3,724,"A young man dreams of making a fortune in Chennai. He owns a travel agency and is all set to marry his lover. After he crosses paths with a loan shark, The Latter is Murdered, the young man runs for cover and plans to find the murderer.",Hindi
Rowdy Rathore,2012,2h 20m,5.8,24K,"A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",Hindi
Arjun: The Warrior Prince,2012,1h 36m,6.8,2K,"Arjun, a Pandava, learns the art of warfare from Drona and becomes his most skilled student. Meanwhile, Duryodhana and his uncle, Shakuni, conspire to win over everything that belongs to the Pandavas.",Hindi
Miss Lovely,2012,1h 53m,7.5,13K,"A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",Hindi
Gangs of Wasseypur,2012,5h 21m,8.2,103K,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Hindi
